ticker,tradedate,dlt5iv10d,dlt25iv10d,iv10d,dlt75iv10d,dlt95iv10d
RSX,2020-04-07,54.05,53.9,56.58,65.19,81.99
RSX,2020-04-06,52.43,52.28,55.96,63.93,73.4
RSX,2020-04-03,69.29,67.9,72.14,85.77,107.14
RSX,2020-04-02,76.18,72.1,75.11,87.11,104.07
RSX,2020-04-01,91.17,69.92,64.88,84.39,118.56
RSX,2020-03-31,41.7,53.86,64.57,79.41,105.0
RSX,2020-03-30,68.51,71.27,76.99,86.7,100.18
RSX,2020-03-27,70.64,74.71,80.57,88.36,98.51
RSX,2020-03-26,91.22,84.16,79.85,80.58,84.79
QQQ,2020-04-20,33.89,38.2,43.08,49.11,59.59
QQQ,2020-04-17,30.55,32.55,35.08,40.47,50.25
QQQ,2020-04-16,31.93,34.77,38.79,44.26,55.12
QQQ,2020-04-15,32.18,35.55,38.85,44.14,55.27
QQQ,2020-04-14,33.47,35.24,36.44,41.59,53.29
QQQ,2020-04-13,34.72,36.3,39.45,45.31,56.8
QQQ,2020-04-09,34.7,34.94,38.28,42.66,53.11
QQQ,2020-04-08,34.76,36.55,39.52,44.13,58.47
QQQ,2020-04-07,36.06,37.63,40.67,47.13,60.38
QQQ,2020-04-06,32.29,33.92,38.25,44.38,58.23
QQQ,2020-04-03,36.78,39.28,44.63,51.11,61.65
QQQ,2020-04-02,37.54,41.58,48.62,56.53,69.6
QQQ,2020-04-01,43.85,50.62,58.73,67.77,78.74
QQQ,2020-03-31,40.57,44.58,51.59,65.38,85.15
QQQ,2020-03-30,44.98,49.39,58.03,70.03,86.69
QQQ,2020-03-27,52.44,58.23,66.99,79.62,96.36
QQQ,2020-03-26,51.44,58.14,68.15,81.86,100.44
IWM,2020-04-20,48.02,53.39,60.94,67.7,72.52
IWM,2020-04-17,43.78,48.82,55.62,61.47,67.55
IWM,2020-04-16,45.19,50.39,57.36,63.55,70.29
IWM,2020-04-15,47.72,52.46,58.72,63.76,68.82
IWM,2020-04-14,45.23,49.39,55.05,59.86,62.73
IWM,2020-04-13,48.0,54.52,60.8,65.68,71.05
IWM,2020-04-09,45.81,52.41,60.29,66.13,71.75
IWM,2020-04-08,42.81,49.3,56.7,64.02,73.73
IWM,2020-04-07,43.56,48.65,55.56,62.76,71.07
IWM,2020-04-06,42.71,46.16,52.23,61.06,72.95
IWM,2020-04-03,52.73,54.75,62.33,69.92,79.12
IWM,2020-04-02,48.48,55.5,63.89,71.44,80.15
IWM,2020-04-01,59.19,65.64,74.91,84.46,96.67
IWM,2020-03-31,47.09,55.94,64.64,76.39,101.96
IWM,2020-03-30,55.38,60.89,70.85,82.68,96.04
IWM,2020-03-27,61.73,69.77,80.38,92.22,101.7
IWM,2020-03-26,60.28,68.09,79.06,91.78,107.41
IGV,2020-04-20,32.16,36.94,42.79,51.21,59.34
IGV,2020-04-17,28.66,33.84,38.88,44.07,53.2
IGV,2020-04-16,31.43,36.04,40.35,46.22,57.03
IGV,2020-04-15,31.23,34.77,40.5,47.6,53.08
IGV,2020-04-14,30.03,33.47,37.69,43.33,52.51
IGV,2020-04-13,39.56,42.09,45.75,50.5,56.96
IGV,2020-04-09,38.81,39.99,43.11,48.14,53.71
IGV,2020-04-08,37.65,40.04,43.12,48.69,58.42
IGV,2020-04-07,41.22,43.02,45.2,51.74,65.42
IGV,2020-04-06,35.04,38.32,42.56,48.75,58.48
IGV,2020-04-03,39.63,43.47,50.12,56.63,61.97
IGV,2020-04-02,39.36,45.19,52.45,61.12,72.75
IGV,2020-04-01,44.49,50.39,59.46,69.26,76.67
IGV,2020-03-31,38.83,44.08,52.52,61.87,71.54
IGV,2020-03-30,40.57,47.78,56.88,65.22,75.27
IGV,2020-03-27,45.14,51.75,61.91,72.95,82.19
IGV,2020-03-26,43.41,49.31,57.81,67.85,79.06
FXI,2020-04-20,28.56,28.44,30.94,35.97,41.81
FXI,2020-04-17,31.99,30.23,28.61,31.6,46.53
FXI,2020-04-16,27.59,28.11,30.6,35.52,41.89
FXI,2020-04-15,27.86,28.0,30.37,35.18,40.79
FXI,2020-04-14,26.76,27.05,28.68,34.35,46.18
FXI,2020-04-13,29.51,30.93,33.18,39.06,50.14
FXI,2020-04-09,29.49,29.88,32.22,38.13,48.46
FXI,2020-04-08,29.13,30.3,32.55,38.07,51.43
FXI,2020-04-07,30.35,31.26,34.58,40.33,46.67
FXI,2020-04-06,31.1,31.3,32.68,39.68,51.63
FXI,2020-04-03,32.96,34.81,38.23,45.1,56.37
FXI,2020-04-02,34.6,36.83,41.25,50.56,65.86
FXI,2020-04-01,42.25,43.8,50.19,61.08,76.16
FXI,2020-03-31,35.49,37.37,42.48,53.54,69.2
FXI,2020-03-30,33.66,38.08,44.04,53.37,68.58
FXI,2020-03-27,42.34,47.38,52.22,63.23,80.37
FXI,2020-03-26,37.61,39.83,44.41,52.75,65.86
FEZ,2020-04-20,32.73,35.93,40.71,49.34,69.17
FEZ,2020-04-17,20.88,30.64,39.59,50.35,73.48
FEZ,2020-04-16,37.72,38.27,42.5,50.68,60.07
FEZ,2020-04-15,38.93,39.72,43.68,50.92,59.08
FEZ,2020-04-14,27.38,31.42,35.33,43.42,59.81
FEZ,2020-04-13,33.3,36.61,41.88,50.86,63.77
FEZ,2020-04-09,29.94,34.6,40.04,50.28,68.0
FEZ,2020-04-08,30.84,35.62,39.7,47.58,65.75
FEZ,2020-04-07,37.99,41.71,46.82,55.94,72.63
FEZ,2020-04-06,34.07,36.71,40.6,47.48,58.85
FEZ,2020-04-03,33.77,38.93,45.78,54.19,67.67
FEZ,2020-04-02,43.22,48.19,52.95,60.52,74.42
FEZ,2020-04-01,49.9,54.18,61.1,71.82,84.68
FEZ,2020-03-31,45.1,48.49,53.74,61.59,73.1
FEZ,2020-03-30,48.53,54.49,61.2,70.35,84.15
FEZ,2020-03-27,52.9,57.97,65.42,75.03,87.39
FEZ,2020-03-26,52.28,57.6,64.92,72.91,81.2
EZA,2020-04-20,45.25,48.16,52.61,59.02,68.05
EZA,2020-04-17,40.84,45.22,50.77,58.16,68.77
EZA,2020-04-16,44.3,48.34,53.78,61.11,71.18
EZA,2020-04-15,44.1,47.36,54.02,61.5,67.89
EZA,2020-04-14,42.18,46.6,52.59,60.35,70.49
EZA,2020-04-13,56.28,61.02,67.51,75.08,85.4
EZA,2020-04-09,53.25,56.57,62.25,69.7,79.86
EZA,2020-04-08,39.65,47.34,56.22,64.71,71.67
EZA,2020-04-07,60.71,63.96,70.45,79.64,91.81
EZA,2020-04-06,54.89,58.31,64.29,72.76,83.88
EZA,2020-04-03,34.6,52.37,68.56,91.49,129.17
EZA,2020-04-02,64.38,66.06,68.92,72.99,77.76
EZA,2020-04-01,66.22,67.68,73.18,82.47,94.91
EZA,2020-03-31,67.12,66.34,68.89,75.36,83.36
EZA,2020-03-30,61.72,64.45,72.98,86.55,103.35
EZA,2020-03-27,69.63,70.43,77.14,91.86,115.99
EZA,2020-03-26,61.11,69.78,75.0,83.23,102.18
EWZ,2020-04-20,57.89,61.87,68.71,78.6,92.65
EWZ,2020-04-17,53.51,56.49,62.19,72.12,87.19
EWZ,2020-04-16,55.64,61.4,67.95,77.27,91.89
EWZ,2020-04-15,55.32,61.18,68.87,76.85,96.86
EWZ,2020-04-14,55.3,59.76,68.11,76.36,92.81
EWZ,2020-04-13,62.95,67.04,74.09,87.47,108.54
EWZ,2020-04-09,55.16,59.94,68.66,82.07,100.37
EWZ,2020-04-08,53.73,59.52,66.95,79.48,102.66
EWZ,2020-04-07,59.41,63.93,72.87,86.16,110.44
EWZ,2020-04-06,62.63,69.56,78.91,93.24,121.5
EWZ,2020-04-03,68.52,74.68,85.82,102.54,126.39
EWZ,2020-04-02,62.48,69.55,80.71,97.59,123.14
EWZ,2020-04-01,71.82,80.88,91.82,108.78,136.27
EWZ,2020-03-31,68.82,75.7,87.42,107.16,137.67
EWZ,2020-03-30,74.41,84.16,95.46,113.81,148.5
EWZ,2020-03-27,73.75,84.88,96.04,115.77,157.49
EWZ,2020-03-26,67.65,76.52,93.79,117.68,130.74
EWY,2020-04-20,38.45,43.16,48.27,53.63,60.87
EWY,2020-04-17,29.83,35.46,39.67,44.18,54.44
EWY,2020-04-16,31.95,43.02,48.3,50.33,70.57
EWY,2020-04-15,37.88,44.18,49.2,51.87,71.82
EWY,2020-04-14,32.65,39.92,42.01,46.25,68.25
EWY,2020-04-13,39.28,44.09,49.16,55.23,64.42
EWY,2020-04-09,42.47,41.71,44.01,51.72,64.13
EWY,2020-04-08,31.95,42.65,47.45,49.95,75.86
EWY,2020-04-07,44.03,44.86,48.96,56.47,64.92
EWY,2020-04-06,34.4,44.45,48.45,51.8,80.9
EWY,2020-04-03,49.11,52.59,57.82,66.93,81.82
EWY,2020-04-02,52.22,55.13,61.28,73.16,90.41
EWY,2020-04-01,59.9,62.88,71.92,87.2,108.19
EWY,2020-03-31,52.69,53.58,61.51,74.98,91.33
EWY,2020-03-30,55.55,60.22,66.41,78.8,102.61
EWY,2020-03-27,68.34,69.42,75.43,89.83,109.2
EWY,2020-03-26,50.34,57.67,67.19,82.66,104.9
EWW,2020-04-20,45.61,50.46,56.65,67.53,85.9
EWW,2020-04-17,37.44,41.66,45.96,54.92,72.92
EWW,2020-04-16,41.74,45.82,52.18,62.88,77.59
EWW,2020-04-15,50.59,50.39,52.6,59.98,78.28
EWW,2020-04-14,37.25,42.04,49.07,59.29,73.74
EWW,2020-04-13,43.46,48.06,55.3,66.76,83.83
EWW,2020-04-09,40.4,45.25,52.37,64.13,83.49
EWW,2020-04-08,40.99,44.87,51.44,63.97,83.47
EWW,2020-04-07,43.23,48.42,57.38,71.87,93.73
EWW,2020-04-06,45.4,48.31,56.83,71.72,89.28
EWW,2020-04-03,45.91,55.69,66.15,80.23,104.49
EWW,2020-04-02,52.02,60.11,70.86,84.23,101.45
EWW,2020-04-01,53.13,61.02,73.33,90.98,113.56
EWW,2020-03-31,47.44,56.92,69.17,85.57,108.42
EWW,2020-03-30,58.25,65.56,75.03,96.68,139.96
EWW,2020-03-27,64.99,71.68,82.24,106.92,155.37
EWW,2020-03-26,55.2,64.17,74.73,94.78,132.48
EWU,2020-04-20,32.26,35.96,40.31,46.72,56.7
EWU,2020-04-17,26.43,30.1,34.84,42.03,52.91
EWU,2020-04-16,30.24,33.62,38.79,46.01,56.09
EWU,2020-04-15,26.99,32.37,39.26,48.05,60.33
EWU,2020-04-14,28.95,31.22,35.77,44.98,59.5
EWU,2020-04-13,28.76,32.89,38.49,47.05,60.66
EWU,2020-04-09,33.09,35.14,39.31,47.24,59.26
EWU,2020-04-08,30.41,34.34,40.45,49.75,62.83
EWU,2020-04-07,37.92,42.0,46.46,53.51,65.45
EWU,2020-04-06,31.04,33.93,39.79,50.82,67.61
EWU,2020-04-03,39.22,41.63,44.93,49.49,55.9
EWU,2020-04-02,38.43,42.43,47.36,55.72,70.05
EWU,2020-04-01,47.78,52.54,59.1,67.83,79.98
EWU,2020-03-31,44.03,46.9,51.98,60.21,71.3
EWU,2020-03-30,47.9,52.77,60.58,72.2,87.94
EWU,2020-03-27,53.95,61.2,69.38,80.99,99.01
EWU,2020-03-26,47.32,52.39,59.6,70.41,86.58
EWP,2020-04-20,41.96,45.63,49.53,55.61,65.94
EWP,2020-04-17,28.18,34.63,41.49,50.42,64.68
EWP,2020-04-16,33.46,37.92,43.42,51.62,65.45
EWP,2020-04-15,34.31,38.5,42.64,50.29,64.86
EWP,2020-04-14,61.35,66.84,75.74,86.89,102.94
EWP,2020-04-13,37.51,41.85,48.03,55.68,66.32
EWP,2020-04-09,29.34,31.33,36.08,43.33,53.01
EWP,2020-04-08,36.39,37.55,43.09,53.16,66.87
EWP,2020-04-07,34.6,38.15,43.61,50.22,56.33
EWP,2020-04-06,36.45,34.68,38.33,48.48,63.44
EWP,2020-04-03,36.04,40.87,47.7,56.88,69.44
EWP,2020-04-02,29.62,39.62,50.66,63.44,82.52
EWP,2020-04-01,32.56,40.6,52.75,68.94,90.7
EWP,2020-03-31,27.63,36.63,48.74,65.14,88.32
EWP,2020-03-30,36.29,45.47,56.66,71.53,94.25
EWP,2020-03-27,37.7,49.11,60.03,74.28,100.08
EWP,2020-03-26,30.36,41.22,53.22,69.33,98.09
EWM,2020-04-20,32.08,33.24,35.83,39.69,46.72
EWM,2020-04-17,33.41,34.68,37.52,41.74,49.35
EWM,2020-04-16,54.14,38.65,36.66,53.98,81.75
EWM,2020-04-15,31.91,33.77,36.99,41.21,48.2
EWM,2020-04-14,35.82,36.97,40.33,45.86,54.73
EWM,2020-04-13,50.35,54.87,61.5,70.81,84.86
EWM,2020-04-09,63.41,63.21,68.38,79.68,97.28
EWM,2020-04-08,53.22,50.07,53.21,64.23,81.68
EWM,2020-04-07,64.8,63.93,69.66,82.95,102.69
EWM,2020-04-06,66.22,53.1,52.1,68.22,96.22
EWM,2020-04-03,85.96,67.52,65.12,85.65,121.65
EWM,2020-04-02,58.05,53.0,56.16,69.83,91.2
EWM,2020-04-01,40.1,51.14,58.92,75.6,113.93
EWM,2020-03-31,40.05,47.99,56.63,70.43,93.58
EWM,2020-03-30,24.53,38.86,54.22,74.75,111.37
EWM,2020-03-27,67.33,57.72,55.44,64.0,78.63
EWM,2020-03-26,53.04,46.64,48.57,61.55,82.3
EWL,2020-04-20,23.65,26.14,28.65,36.5,54.67
EWL,2020-04-17,22.37,25.68,29.57,37.38,52.25
EWL,2020-04-16,26.59,28.56,33.56,41.25,54.16
EWL,2020-04-15,29.33,30.93,32.88,38.65,54.33
EWL,2020-04-14,20.98,24.91,30.17,37.15,47.05
EWL,2020-04-13,28.27,32.67,38.64,45.4,54.41
EWL,2020-04-09,27.95,31.33,36.53,43.56,52.81
EWL,2020-04-08,24.42,28.35,34.08,41.82,52.24
EWL,2020-04-07,32.41,35.4,40.97,50.59,64.56
EWL,2020-04-06,26.42,31.02,36.55,42.94,51.34
EWL,2020-04-03,31.17,33.03,37.55,46.79,61.07
EWL,2020-04-02,30.4,35.51,41.63,48.96,58.84
EWL,2020-04-01,35.2,40.73,48.26,58.41,72.4
EWL,2020-03-31,33.18,37.9,44.48,53.67,66.59
EWL,2020-03-30,36.03,41.9,49.03,58.8,75.13
EWL,2020-03-27,39.1,44.82,52.13,61.21,73.8
EWL,2020-03-26,34.71,40.17,47.42,55.16,61.71
EWJ,2020-04-20,24.91,29.4,33.55,40.86,58.34
EWJ,2020-04-17,21.42,26.88,31.19,37.12,52.75
EWJ,2020-04-16,24.3,28.08,31.65,38.23,52.44
EWJ,2020-04-15,23.62,28.1,31.75,38.03,51.12
EWJ,2020-04-14,25.2,27.83,31.22,37.23,48.57
EWJ,2020-04-13,25.26,30.55,34.45,40.86,55.83
EWJ,2020-04-09,26.9,30.89,35.8,42.84,54.38
EWJ,2020-04-08,27.75,32.41,37.51,45.18,59.1
EWJ,2020-04-07,27.01,33.44,39.63,47.2,60.53
EWJ,2020-04-06,25.41,31.45,36.82,43.91,58.25
EWJ,2020-04-03,32.06,37.61,44.21,52.99,66.33
EWJ,2020-04-02,29.04,35.14,42.81,52.72,66.23
EWJ,2020-04-01,36.45,42.37,51.18,61.66,74.32
EWJ,2020-03-31,36.03,43.63,52.09,64.2,84.83
EWJ,2020-03-30,39.15,45.52,54.56,68.46,84.75
EWJ,2020-03-27,43.58,49.49,59.41,72.84,84.74
EWJ,2020-03-26,40.12,45.4,54.29,65.34,78.3
EWI,2020-04-20,41.05,43.89,48.1,54.4,63.41
EWI,2020-04-17,37.09,39.14,44.27,55.57,74.53
EWI,2020-04-16,37.63,42.24,46.72,53.26,67.37
EWI,2020-04-15,39.85,43.86,49.18,56.31,66.05
EWI,2020-04-14,57.1,51.06,46.99,46.78,49.41
EWI,2020-04-13,41.13,45.53,52.1,61.42,75.48
EWI,2020-04-09,43.26,43.13,47.75,57.69,72.4
EWI,2020-04-08,46.23,43.44,47.12,58.77,76.27
EWI,2020-04-07,49.76,49.0,54.09,65.9,82.89
EWI,2020-04-06,56.98,48.92,50.61,65.41,89.31
EWI,2020-04-03,50.74,46.75,49.97,62.34,81.16
EWI,2020-04-02,48.0,52.47,58.77,67.21,78.39
EWI,2020-04-01,45.48,53.76,60.76,73.29,98.04
EWI,2020-03-31,50.52,55.33,58.71,65.35,92.22
EWI,2020-03-30,45.56,52.92,59.63,74.02,104.57
EWI,2020-03-27,43.68,53.91,65.95,82.47,107.06
EWI,2020-03-26,47.06,52.45,61.86,77.3,99.64
EWH,2020-04-20,22.53,27.18,34.36,44.41,58.64
EWH,2020-04-17,25.28,26.57,29.4,33.67,40.5
EWH,2020-04-16,27.58,30.38,34.61,39.65,47.61
EWH,2020-04-15,27.28,29.73,33.49,38.01,45.39
EWH,2020-04-14,25.17,26.9,30.07,34.38,41.28
EWH,2020-04-13,24.86,29.12,34.88,42.78,53.89
EWH,2020-04-09,51.44,37.87,33.19,42.45,60.37
EWH,2020-04-08,29.71,31.88,34.76,38.58,43.88
EWH,2020-04-07,25.96,29.26,33.64,39.41,47.36
EWH,2020-04-06,30.64,33.2,36.74,41.42,47.9
EWH,2020-04-03,34.98,38.58,43.68,52.07,65.43
EWH,2020-04-02,32.58,38.58,45.36,55.41,71.54
EWH,2020-04-01,40.6,45.46,52.39,61.81,74.04
EWH,2020-03-31,36.01,40.33,45.99,53.27,63.21
EWH,2020-03-30,36.42,41.72,49.27,59.66,73.94
EWH,2020-03-27,35.46,43.31,54.64,70.84,93.94
EWH,2020-03-26,49.87,51.56,55.55,62.5,71.93
EWG,2020-04-20,30.14,34.21,39.85,48.77,62.81
EWG,2020-04-17,26.22,31.78,38.64,47.17,59.17
EWG,2020-04-16,31.71,34.9,39.96,47.91,59.55
EWG,2020-04-15,31.8,34.24,39.49,49.51,64.54
EWG,2020-04-14,29.06,32.89,38.05,44.97,54.78
EWG,2020-04-13,36.03,40.62,46.92,55.36,67.27
EWG,2020-04-09,27.89,33.69,41.21,51.0,64.86
EWG,2020-04-08,26.37,32.72,41.0,51.8,67.07
EWG,2020-04-07,38.49,42.28,47.62,54.97,64.78
EWG,2020-04-06,27.77,32.8,39.97,49.98,64.12
EWG,2020-04-03,34.29,38.48,44.14,51.79,62.44
EWG,2020-04-02,35.05,40.3,47.43,56.96,69.95
EWG,2020-04-01,43.88,45.88,50.39,58.21,72.74
EWG,2020-03-31,36.18,40.57,47.65,57.76,69.96
EWG,2020-03-30,38.16,44.57,53.04,65.1,83.4
EWG,2020-03-27,45.68,51.88,59.98,70.75,86.52
EWG,2020-03-26,39.33,45.68,52.28,62.28,80.01
EWC,2020-04-20,28.54,32.46,39.48,51.84,70.28
EWC,2020-04-17,22.12,27.38,34.72,45.71,62.28
EWC,2020-04-16,29.53,32.28,37.93,48.18,63.07
EWC,2020-04-15,29.43,33.94,39.98,49.81,66.49
EWC,2020-04-14,26.22,28.54,34.75,47.55,67.06
EWC,2020-04-13,33.37,37.59,44.51,53.9,66.31
EWC,2020-04-09,36.37,38.44,44.2,53.63,66.51
EWC,2020-04-08,30.12,36.61,44.86,55.25,69.68
EWC,2020-04-07,34.46,38.7,45.39,55.17,68.22
EWC,2020-04-06,30.47,36.45,44.26,54.32,68.37
EWC,2020-04-03,35.91,43.56,51.17,61.03,77.41
EWC,2020-04-02,34.54,42.05,51.56,64.11,82.73
EWC,2020-04-01,40.43,47.59,55.55,64.66,78.27
EWC,2020-03-31,23.47,34.17,47.31,63.38,86.24
EWC,2020-03-30,38.86,43.38,52.89,70.38,97.87
EWC,2020-03-27,45.51,52.02,59.7,74.5,102.04
EWC,2020-03-26,42.3,47.67,57.6,74.96,101.08
EWA,2020-04-20,37.95,40.69,44.49,49.73,56.93
EWA,2020-04-17,33.62,37.46,43.24,51.15,60.85
EWA,2020-04-16,35.05,38.78,44.13,51.23,60.79
EWA,2020-04-15,38.11,42.2,47.68,54.69,63.8
EWA,2020-04-14,34.4,38.14,43.28,50.35,60.0
EWA,2020-04-13,49.92,55.04,62.22,70.72,81.96
EWA,2020-04-09,44.91,48.72,54.72,62.14,72.05
EWA,2020-04-08,43.64,47.32,53.56,61.61,72.06
EWA,2020-04-07,41.9,46.11,52.56,60.31,70.06
EWA,2020-04-06,44.44,49.36,55.65,63.84,75.28
EWA,2020-04-03,53.56,56.52,61.06,67.28,75.63
EWA,2020-04-02,49.13,53.68,60.36,69.65,82.45
EWA,2020-04-01,56.71,61.8,67.01,72.02,77.26
EWA,2020-03-31,49.25,53.77,60.04,68.56,80.4
EWA,2020-03-30,47.9,55.22,63.46,74.18,91.9
EWA,2020-03-27,57.3,62.15,67.96,75.72,86.94
EWA,2020-03-26,48.43,53.63,60.35,68.86,80.26
